,Name of vessel,RS No,IMO No,Previous name,Call sign,Port of registry,Flag,RS Class notation,Major conversion/modernization,Basic type,Date of build,Country of build,Building number,Date of Build Major Portion,Major Portion,Gross tonnage,Tonnage,Deadweight,Displacement,Length overall (extreme),Moulded lenght,Rule length,Breadth,Depth,Draught,Speed,Type of power plant,Main Engine,The number and power of propulsion motors,"Propeller number, type",Number of blades,Number and power of generators,Main boilers,Refrigerating plant,Working temperature,Refrigerants,Radio navigational equipment,Number and capacity of cargo holds,Refrigerated cargo spaces,Cargo tanks,Number and type of containers,Number of decks,Number o bulkheads,"Number of passengers, berthed","Number of passengers, unberthed",Special personnel,Cargo hatches (number and clear dimensions),Derricks,Cranes,FO bunkers,FO types,Water ballast,Heating coils,Equipment Number,Grade of anchor chains,Diameter of anchor chains,Owner,Shipowner,Operator,ISM Manager,MLC Shipowner
241,МРС-150-086,173330,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,20/06/1989,Russia,086,,,61,18,20.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.65 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:","OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:",,,
242,МРС-150-131,173360,,,UCHH,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/10/1994,Russia,,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,,
243,МРС-150-130,173361,,,UCHG,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,15/10/1994,Russia,,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: Country unknown The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,,
244,МРС-150-082,173376,,,UDOQ,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,19/05/1989,USSR,082,,,61,0,23.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.00 m.,2.65 m.,1.64 m.,0.0,Diesel,Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,0,1* 62,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:","FISH PROCESSING PLANT SOCRA  Address: Russia, 684090 Kamchatskiy kray, g. Vilyuchinsk, ul. Lesnaya, 1A IMO: Email: sokracom@mail.ru Company Website:",,,
245,МРС-150-083,173377,,,UBAH4,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,23/05/1989,Russia,083,,,61,18,22.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.00 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:","TYMLATSKIY RYBOKOMBINAT CO., LTD  Address: Russia, 683000 Kamchatskiy kr., Petropavlovsk-Kamchatskiy, pl. Shchedrina, d. 1, a/ya 220 IMO: Email: office@trk41.ru Company Website:",,,
246,МРС-150-305,173378,,,UCNR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,30/08/1987,Russia,305,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:","""OZERNOVSK FISH CANNERY PLANT # 55"", JOINT-STOCK COMPANY  Address: Russia, 683000, Petropavlovsk-Kamchatskiy, pl.Shchedrina,1 a/ya 220 IMO: Email: office@rkz55.ru Company Website:",,,
247,МРС-150-307,173379,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,25/09/1987,Russia,307,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:","LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:",,,
248,МРС-150-119,173391,,,UBKR,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,08/04/1993,Russia,119,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"TERTEY-FLOT CO., LTD  Address: Russia, 684010 Kamchatskiy kray, Elizovskiy r-on, p. Nagornyy, 19 km, territoriya p/f ""Vostochnaya"" IMO: 5070777 Email: ooo_flot@mail.ru Company Website:","TERTEY-FLOT CO., LTD  Address: Russia, 684010 Kamchatskiy kray, Elizovskiy r-on, p. Nagornyy, 19 km, territoriya p/f ""Vostochnaya"" IMO: 5070777 Email: ooo_flot@mail.ru Company Website:",,,
249,МРС-150-120,173392,,,UBLM,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,12/04/1993,Russia,120,,,61,18,24.000 t.,0 t.,21.90 m.,21.90 m.,0.00 m.,6.00 m.,2.63 m.,1.59 m.,0.0,,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME:,,1 - Fixed pitched solid propeller,0,1* 60,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Public address system Radar Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF radio-telephone station",,,,,1,4,0,0,0,,,,0,,0 m3,,0,,0.0,"DEL'TA FISH LTD, LTD  Address: Russia, 683901, Petropavlovsk-Kamchatskiy, a/ya 1 IMO: Email: deltafishltdkam@yandex.ru Company Website:","DEL'TA FISH LTD, LTD  Address: Russia, 683901, Petropavlovsk-Kamchatskiy, a/ya 1 IMO: Email: deltafishltdkam@yandex.ru Company Website:",,,
250,МРС-150-121,173393,,,UBMN,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,14/05/1993,Russia,121,,,61,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
251,МРС-150-274,173407,,,UEYE,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,15/08/1985,Russia,,,,62,18,24.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,Built ME: 2020 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
252,МРС-150-318,173408,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,15/09/1988,USSR,318,,,61,22,27.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,COSPAS-SARSAT Satellite emergency position-indicating radio beacon Digital selective calling receiver Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling),,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:","OAO ""RYBOKONSERVNYY ZAVOD ""KOMANDOR""  Address: Russia, 683905 Petropavlovsk-Kamchatskiy, ul.Kosmonavtov 40 IMO: Email: Company Website:",,,
253,МРС-150-093,173423,,,,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,08/06/1990,Russia,193,,,62,18,23.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"KOLPAKOVSKIY RYBOKOMBINAT Co., Ltd  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, a/ya 179 IMO: Email: krk@westkamchatka.ru; rk_bm@mail.ru Company Website:","KOLPAKOVSKIY RYBOKOMBINAT Co., Ltd  Address: Russia, 683000 Petropavlovsk-Kamchatskiy, a/ya 179 IMO: Email: krk@westkamchatka.ru; rk_bm@mail.ru Company Website:",,,
254,МРС-150-316,173425,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,11/08/1988,Russia,316,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.74 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Radio navigation system receiver with GLONASS Search and Rescue Radar Transpoder, AIS Search and Rescue VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:","RK ""KRUTOGOROVSKOYE"" LTD  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, pr.Pobedy 69 IMO: Email: rk@westkamchatka.ru; rk_bm@mail.ru Company Website:",,,
255,МРС-150-126,173446,,,UADI,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,12/08/1993,Russia,,,,61,18,23.000 t.,0 t.,22.05 m.,22.05 m.,19.70 m.,6.18 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD615.C-22,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"RPZ ""Maksimovskiy"" LLC  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, Prospekt Pobedy, d.69 IMO: Email: east_coast@mail.ru Company Website:","RPZ ""Maksimovskiy"" LLC  Address: Russia, 683023 Petropavlovsk-Kamchatskiy, Prospekt Pobedy, d.69 IMO: Email: east_coast@mail.ru Company Website:",,,
256,МРС-150-128,173447,,,UADH,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,14/09/1993,Russia,128,,,62,18,24.000 t.,0 t.,22.00 m.,22.00 m.,19.70 m.,6.00 m.,2.65 m.,0.00 m.,9.0,Diesel,Built ME: 2015 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,0,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Depth sounder Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,1,4,0,0,0,,,,0,,0 m3,,0,,0.0,"VYVENSKOE CO LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, 23 OPS, a/ya 45 IMO: Email: Company Website:","VYVENSKOE CO LTD  Address: Russia, 683032 Petropavlovsk-Kamchatskiy, 23 OPS, a/ya 45 IMO: Email: Company Website:",,,
257,МРС-150-123,173450,,,UHXM,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,09/07/1993,Russia,123,,,61,18,23.000 t.,0 t.,21.60 m.,21.60 m.,19.70 m.,6.20 m.,2.65 m.,1.64 m.,9.0,Diesel,,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""Zarya""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/3, kv. 5 IMO: Email: pakhomova@fishpk.ru Company Website:","OOO ""Zarya""  Address: Russia, 683031 Petropavlovsk-Kamchatskiy, ul. Toporkova, d. 9/3, kv. 5 IMO: Email: pakhomova@fishpk.ru Company Website:",,,
258,МРС-150-306,173469,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,18/09/1987,Russia,306,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.64 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 37,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:","LOYD-FISH LTD  Address: Russia, 683038 Petropavlovsk-Kamchatskiy, ul. Kosmicheskiy proezd, 3A IMO: Email: Company Website:",,,
259,МРС-150-246,173514,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,30/09/1983,Russia,246,,,62,18,25.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.18 m.,2.65 m.,1.69 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*140 Mark ME: WD615.C-24,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Public address system Radar Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:","OOO ""OKTYABRSKIY-1""  Address: Russia, 683024 Petropavlovsk-Kamchatskiy, pr. Rybakov 4, a/ya 171 IMO: Email: narsevera@yandex.ru Company Website:",,,
260,МРС-150-061,173539,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,20/05/1986,Russia,061,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 0 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,"COSPAS-SARSAT Satellite emergency position-indicating radio beacon Magnetic compass MF Radioinstallation (MF radio-telephone station with digital selective calling) NAVTEX receiver Radio navigation system receiver Search and Rescue Radar Transpoder, AIS Search and Rescue Two-way radio-telephone apparatus VHF Radioinstallation (VHF radio-telephone station with digital selective calling)",,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"FISHING ATREL ""KRASNYY TRUZHENIK""  Address: Russia, 684111 Kamchatskiy kray, Usty-Bolsheretskiy r-on, s.Zaporozhye, ul. Tsentralnaya 25 IMO: Email: ozernaya@yandex.ru;kkrt@mail.ru Company Website:","FISHING ATREL ""KRASNYY TRUZHENIK""  Address: Russia, 684111 Kamchatskiy kray, Usty-Bolsheretskiy r-on, s.Zaporozhye, ul. Tsentralnaya 25 IMO: Email: ozernaya@yandex.ru;kkrt@mail.ru Company Website:",,,
261,МРС-150-069,173541,,,-,Petropavlovsk-Kamchatskiy,Russia,KM(*) L4 R2 fishing vessel,,Fishing,02/06/1987,Russia,069,,,61,18,24.000 t.,0 t.,21.94 m.,21.94 m.,19.70 m.,6.00 m.,2.65 m.,1.59 m.,9.0,Diesel,Built ME: 2017 Country Construction: China The company has built ME: The number and power of ME: 1*176 Mark ME: WD10-C240-15,,1 - Fixed pitched solid propeller,4,1* 50,,,,,,,,,,0,0,0,0,0,,,,0,,0 m3,,0,,0.0,"FISHING ATREL ""KRASNYY TRUZHENIK""  Address: Russia, 684111 Kamchatskiy kray, Usty-Bolsheretskiy r-on, s.Zaporozhye, ul. Tsentralnaya 25 IMO: Email: ozernaya@yandex.ru;kkrt@mail.ru Company Website:","FISHING ATREL ""KRASNYY TRUZHENIK""  Address: Russia, 684111 Kamchatskiy kray, Usty-Bolsheretskiy r-on, s.Zaporozhye, ul. Tsentralnaya 25 IMO: Email: ozernaya@yandex.ru;kkrt@mail.ru Company Website:",,,
